__label__spam	This is the 2nd time we have tried to contact u. U have won the å£1450 prize to claim just call 09053750005 b4 310303. T&Cs/stop SMS 08718725756. 140ppm
__label__ham	I lost 4 pounds since my doc visit last week woot woot! Now I'm gonna celebrate by stuffing my face!
__label__ham	Wa, ur openin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?
__label__ham	Delhi and chennai still silent.
__label__ham	When is school starting. Where will you stay. What's the weather like. And the food. Do you have a social support system like friends in the school. All these things are important.
__label__spam	As a Registered Subscriber yr draw 4 a å£100 gift voucher will b entered on receipt of a correct ans. When are the next olympics. Txt ans to 80062
__label__ham	Hey sathya till now we dint meet not even a single time then how can i saw the situation sathya.
__label__ham	Hello. Damn this christmas thing. I think i have decided to keep this mp3 that doesnt work.
__label__ham	Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.
__label__ham	Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
__label__ham	How are you. Just checking up on you
__label__ham	Hey you can pay. With salary de. Only  &lt;#&gt; .
__label__ham	Am on the uworld site. Am i buying the qbank only or am i buying it with the self assessment also?
__label__ham	[Û_] anyway, many good evenings to u! s
__label__ham	"Edison has rightly said, \A fool can ask more questions than a wise man can answer\"" Now you know why all of us are speechless during ViVa.. GM"
__label__ham	Yeah work is fine, started last week, all the same stuff as before, dull but easy and guys are fun!
__label__ham	Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
__label__spam	Do you ever notice that when you're driving, anyone going slower than you is an idiot and everyone driving faster than you is a maniac?
__label__spam	Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.
__label__ham	He is there. You call and meet him
__label__ham	Why must we sit around and wait for summer days to celebrate. Such a magical sight when the worlds dressed in white. Oooooh let there be snow.
__label__ham	K.k:)i'm going to tirunelvali this week to see my uncle ..i already spend the amount by taking dress .so only i want money.i will give it on feb 1
__label__ham	Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
__label__spam	You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
__label__ham	Dont worry. I guess he's busy.
__label__ham	There are some nice pubs near here or there is Frankie n Bennys near the warner cinema?
__label__ham	Yeah. I got a list with only u and Joanna if I'm feeling really anti social
__label__ham	True. Its easier with her here.
__label__ham	Pls confirm the time to collect the cheque.
__label__ham	K k :-):-) then watch some films.
__label__ham	Early bird! Any purchases yet?
__label__ham	Moji just informed me that you saved our lives. Thanks.
__label__ham	"Hi. Wk been ok - on hols now! Yes on for a bit of a run. Forgot that i have hairdressers appointment at four so need to get home n shower beforehand. Does that cause prob for u?\""ham"""
__label__ham	Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...
__label__ham	"Once a fishrman woke early in d mrng. It was very dark. He waited a while &amp; found a sack ful of stones. He strtd throwin thm in2 d sea 2 pass time. Atlast he had jus 1stone, sun rose up &amp; he found out tht those r nt stones, those were diamonds. Moral:\Dont wake up early in d mrng'' GOOD night"""
__label__ham	Can you pls send me that company name. In saibaba colany
__label__ham	Dont let studying stress you out. L8r.
__label__ham	Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.
__label__ham	Ok then i'll let him noe later n ask him call u tmr...
__label__ham	These won't do. Have to move on to morphine
